Title,Description,Keywords,Dataset,Category,Link
Australian Standard Classification of Education (ASCED),The ASCED provides the standard definitions and procedures for administrative data collected by higher education institutions across the country.,"ASCED
Classification
Standards
Education
Australian",External,"[""Public data""]",https://www.abs.gov.au/statistics/classifications/australian-standard-classification-education-asced/latest-release
Job-ready Graduates Package,Details the applications of the Australian Government's Job-Ready Graduates Package and how it has been updated for various demographics.,"Job-ready
Graduates
Package
Government
Institutions
JRG
Demographics
Graduate Ready Package",External,"[""Public data""]",https://www.education.gov.au/job-ready
Higher Education Funding,"Provides an overview of the different funding avenues the Australian Government provides higher education institutions such as CSP, JRG and HELP.","Funding
Higher Education
CSP
JRG
HELP
Government
Australian
Commonwealth Support Place
Job-Ready Graduates",External,"[""Public data""]",https://www.education.gov.au/higher-education/funding-universities-and-institutions
2022 Transparency Higher Education Expenditure publication,Details the transparency measures implemented by the Australian Government within higher education institutions to assist with future funding and scholarships.,"Transparency Measures
Expenditure
Publication
Higher Education
Institutions
Funding
Scholarships
Australian Government
Universities
Education Policy
Accountability",External,"[""Public data""]",https://www.education.gov.au/higher-education-publications/resources/2022-transparency-higher-education-expenditure-publication
2021 Higher Education providers finance tables,Contains the financial data of higher education institutions across the country including the various grants and loans provided by the Australian Government.,"Financial Data
Institutions
Grants
Loans
Australian Government
Finance
Higher Education
providers
Universities
Education Funding
Government Support
Education Policy",External,"[""Public data""]",https://www.education.gov.au/higher-education-publications/resources/2021-higher-education-providers-finance-tables 
Higher Education Student Data,"Provides reports containing student enrolments, completions and attrition rates from higher education institutions across Australia.","Enrolments
Completions
Attrition Rates
Institutions
Government
Higher Education
Australia
Australian Universities
University
Benchmarking
Academic Performance
Student Data",External,"[""Public data""]",https://www.education.gov.au/higher-education-statistics/student-data/selected-higher-education-statistics-2021-student-data
Higher Education Staff Data,"Provides reports containing staff numbers by role, gender and working area for higher education institutions across Australia.","Staff
Institutions
Government
Role
Gender
Higher Education
Benchmarking
Australia
Australian Universities
Academic
Professional",External,"[""Public data""]",https://www.education.gov.au/higher-education-statistics/staff-data
Quality Indicators of Learning and Teaching (QILT),"Details the purpose and layout of the various surveys conducted for higher education institutions and provides the National Reports for GOS, GOS-L and SES.
","QILT
Quality Indicators of Learning and Teaching
Surveys
National
GOS
GOS-L
SES
Administrative
Graduate Outcomes Survey
Graduate Outcomes Survey - Longitudinal
Student Experience Survey
Australian Universities
Survey design
Educational research
Survey",External,"[""Public data""]",http://qilt.edu.au
QTAC statistics,"Provides data summaries of program applications, preferences and other QTAC data for higher education institutions within Queensland.","QTAC
Institutions
Applications
Preferences
Higher Education
Universities
Admissions statistics
Queensland Tertiary Admissions Centre
Application
Preference",External,"[""Public data""]",https://www.education.gov.au/higher-education
Australian Bureau of Statistics Census Data,"Contains the Australian Census results for all years since 2001, including participation rates in higher education by region.","Australian Census
Participation rates
Region
Higher Education
Census Results
Higher Education Participation
Regional Educational Statistics
Demographics
Trends
Regional Analysis
Census Education Data",External,"[""Public data""]",https://abs.gov.au
UniSC Research,"Research performance by School, information on research grants and income. Higher Degree Research (HDR) students enrolments and completions. Research publications by type and quality.","Research
HDR
School
Research Grants
Research Income
HDR enrolments
HDR completions
Research publications
Higher Degree Research
Grants
Income
Research enrolments
Research completions
Publication Quality
Academic Research
Enrolment
Completions",Research,"[""Research""]",https://app.powerbi.com/groups/me/apps/694e9e63-77cf-4946-a76b-e4bd14c4bf64/reports/6f267913-3458-4bdc-aed8-d41f5ef3ebbb/ReportSection3b2190fc400407c494b5?ctid=93b0ec50-fc3f-47ed-9345-9ffc6012541c&experience=power-bi
My Research,"Researcher Performance, information on Research Grants and Income. Higher Degree Research supervision and completions. Research Publications by volume and quality.","Research performance
Grants
Income
Supervision
Completions
Research publications
publication
Research Grants
Research Income
Research Completions
Publications Quality
Academic Research",Research,"[""Research""]",https://app.powerbi.com/groups/me/apps/694e9e63-77cf-4946-a76b-e4bd14c4bf64/reports/b5650e9f-67a1-4d10-afd1-97ff8d0cb1b5/ReportSection64743b3a4150c6bb353b?ctid=93b0ec50-fc3f-47ed-9345-9ffc6012541c&experience=power-bi
Admissions Offers Weekly,"Point in time three-year comparative offers (QTAC, direct, returning deferrals). Includes enrolment conversion and deferral rates.","Admissions
Offers
QTAC
Enrolment Conversions
Deferrals
Direct Offers
QTAC Offers
Returning Deferral Offers
Deferral Rates
Trend
Enrolments
Three-Year comparative offers
Direct Admissions
Conversions
Domestic
International",Admissions Offers,"[""Students""]",https://app.powerbi.com/groups/me/apps/694e9e63-77cf-4946-a76b-e4bd14c4bf64/reports/609ed248-a107-4aef-adf6-8ea209936b04/ReportSection035e99040c8eb2cc1b61
